29	0	21.2648770971
29	6	31.897334846
29	8	35.8471621284
29	1	12.6819877293
29	4	33.6637933945
29	8	45.4463328133
29	3	13.6659260827
29	5	26.0143925889
29	8	35.0137619125
29	2	13.3317788264
29	7	27.2139890526
29	8	36.2005866767
29	0	14.9984244264
29	4	30.2806825641
29	8	33.4307082172
29	0	13.2985143383
29	4	23.8144300266
29	8	27.4810320566
29	3	13.1332176996
29	6	31.2986047393
29	8	42.3480965855
29	2	11.382157215
29	7	23.5146272045
29	8	36.4970321995
29	0	14.8151579508
29	7	30.4305840748
29	8	41.9468566968
29	1	10.6325018259
29	4	25.9811564944
29	8	39.3641686609
29	1	13.4486572333
29	7	30.6819211033
29	2	10.4655348078
29	4	19.9316754377
29	8	24.5311941973
29	0	11.1654360339
29	7	27.8642763839
29	8	40.7139594496
29	0	12.1318966682
29	4	26.9641977359
29	8	31.8804899306
29	0	12.2820840087
29	7	33.1638871284
29	8	47.0796352745
29	2	12.8821037931
29	4	24.1477538521
29	8	28.3807697005
29	3	11.332507367
29	4	25.9147007782
29	8	39.7467538398
29	0	17.048260717
29	4	31.3635607718
29	8	35.3299531771
29	2	13.0485985871
29	4	24.8814952897
29	8	28.8307957752
29	1	9.58209115559
29	5	21.9312513275
29	8	25.6976329465
29	3	8.58261125569
29	4	21.698371882
29	8	33.8817677812
29	1	9.98215036948
29	5	19.9981640096
29	8	23.0980527491
29	2	16.8983599507
29	4	24.9978066232
29	8	27.8309268055
29	3	10.9318863164
29	4	29.3473185755
29	8	39.1632408538
29	3	7.94900669252
29	5	22.0812788554
29	8	29.997388326
29	3	10.5653658457
29	6	42.2631915267
29	8	68.0447572768
29	0	11.0818044128
29	7	26.4141519962
29	8	36.1136220861
29	0	9.33200265617
29	7	29.0806967789
29	8	36.7634103374
29	2	9.11552607353
29	7	22.5312856338
29	8	29.8140826114
29	1	9.56562501719
29	7	20.5647231639
29	8	26.8645345705
29	3	8.96553398404
29	4	26.4642799364
29	8	34.6803638308
29	2	8.91433549955
29	5	19.4136560175
29	8	29.1465409236
29	0	9.0988511847
29	7	20.8313531819
29	8	29.2643374565
29	0	11.6322348691
29	6	22.4145500891
29	8	26.6815579696
29	0	8.2321107396
29	5	21.9811936254
29	8	29.0472692564
29	2	6.69882067312
29	5	20.4645676099
29	8	33.3808190524
29	3	8.89933230205
29	6	26.2477761557
29	8	34.8306332317
29	0	9.79883351252
29	4	16.9649683182
29	8	19.8482821259
29	0	8.74884376396
29	6	18.2815288242
29	8	22.6478559074
29	2	8.98211027936
29	5	25.3477244802
29	8	31.180557969
29	2	7.44901123099
29	5	17.4149826941
29	8	29.5308314691
