12	1	2	0	9.53958129883
12	2	1	147.647449236	137.708480835
12	3	2	162.948482677	-158.446762085
12	4	1	19.3851063067	169.067329407
12	5	3	20.0976905834	-174.864944458
12	6	3	152.731487162	165.938873291
12	7	4	27.2996659528	-5.43222808838
12	8	4	144.043009514	-168.680686951
12	9	2	144.815848349	5.78923797607
12	10	2	33.8160583309	167.5572052
12	11	1	29.385710838	3.25817871094
12	12	1	128.836163327	-166.164848328
12	13	4	33.3229960588	20.8238449097
12	14	3	168.325476486	4.0700302124
12	15	4	26.2220664544	164.307754517
12	16	3	36.8463594722	-146.043865204
12	17	2	163.335179349	178.462020874
12	18	2	149.103422504	26.0929718018
12	19	1	32.4461507841	55.0340576172
12	20	1	21.8620460792	88.6385345459
12	21	4	145.499377246	-23.5344390869
12	22	4	167.23026306	24.3056793213
12	23	3	23.0877973517	-30.0676879883
12	24	3	149.052405327	-71.9476528168
12	25	1	34.9761785649	89.2084197998
12	26	2	30.2962687528	25.936050415
12	27	1	142.043981591	145.200218201
12	28	2	167.917117354	35.9680862427
12	29	3	167.710118638	38.1587677002
12	30	4	33.5003494512	53.001663208
12	31	4	21.768309359	-169.264205933
12	32	3	30.751180816	-162.895889282
12	33	2	34.0930833864	-141.683135986
12	34	1	25.7360655889	97.3227081299
12	1	1	0	72.3246154785
12	2	2	165.074432363	32.1826248169
12	3	2	23.7599100281	18.1355361938
12	4	1	142.072122081	142.314590454
12	5	4	172.412285678	-66.9169502258
12	6	3	30.4355029286	-170.269584656
12	7	4	167.756415188	35.2279968262
12	8	3	23.0643836224	5.98954772949
