14	1	31	-174.000045776
14	2	1	27.9252624512
14	3	41	-31.9082641602
14	4	21	-145.003204346
14	5	22	-107.109100342
14	6	32	-59.1532745361
14	7	42	160.165237427
14	8	1	90.7991325259
14	9	41	10.5410842896
14	10	21	-179.173171997
14	11	31	-6.9481048584
14	12	22	-4.80409240723
14	13	42	-111.999176025
14	14	32	102.317416191
14	15	21	-167.041786194
14	16	31	-172.633811951
14	17	41	-170.344947815
14	18	32	-85.8432159424
14	19	22	-67.8673858643
14	20	42	-37.0308761597
14	21	1	-88.1325073242
14	22	21	-34.5545654297
14	23	31	-23.7761535645
14	24	41	176.957572937
14	25	42	143.650257111
14	26	22	55.2126998901
14	27	32	-42.7809295654
14	28	1	-12.5020446777
14	29	21	3.67317962646
14	30	31	-135.688415527
14	31	41	-149.467056274
14	32	1	158.992500305
14	33	22	82.6858186722
14	34	32	-103.291915894
14	35	42	103.466770172
14	1	41	-173.775817871
14	2	21	-12.107460022
14	3	31	-136.083984375
14	4	32	-77.9169464111
14	5	42	-101.55291748
14	6	22	75.78810215
14	7	1	-164.179588318
14	8	1	-29.7398910522
14	9	41	-7.30798339844
14	10	31	-20.2875061035
14	11	21	-160.275657654
14	12	32	-99.8381195068
14	13	42	49.4089164734
14	14	22	86.1982381344
14	15	21	-28.1419296265
14	16	31	10.3327713013
14	17	41	19.6836700439
14	18	1	-93.2711486816
14	19	22	-117.2840271
14	20	32	97.1668186188
14	21	42	-29.7406997681
14	22	21	-15.494178772
14	23	1	151.015995026
14	24	41	171.167068481
14	25	31	5.54765319824
14	26	32	-58.6831512451
14	27	22	-55.5453338623
14	28	42	74.9075393677
14	29	31	-175.927711487
14	30	1	142.929325104
14	31	21	157.562217712
14	32	41	-6.73542785645
14	33	42	95.7402696609
14	34	32	-112.85697937
14	35	22	68.4280910492
