1,4,1,0.014,0.978,2.132,-149.220
1,4,1,0.119,0.979,2.133,-149.228
1,4,1,0.213,0.980,2.133,-149.199
1,4,1,0.314,0.980,2.133,-149.120
1,4,1,0.414,0.981,2.133,-148.987
1,4,1,0.514,0.981,2.134,-148.793
1,4,1,0.615,0.981,2.135,-148.109
1,4,1,0.716,0.979,2.136,-146.964
1,4,1,0.816,0.979,2.141,-145.566
1,4,1,0.916,0.977,2.145,-143.562
1,4,1,1.017,0.974,2.152,-140.761
1,4,1,1.117,0.970,2.160,-136.935
1,4,1,1.217,0.965,2.173,-131.664
1,4,1,1.317,0.958,2.189,-125.233
1,4,1,1.416,0.951,2.206,-119.176
1,4,1,1.517,0.946,2.225,-112.088
1,4,1,1.617,0.940,2.244,-106.305
1,4,1,1.718,0.936,2.257,-101.292
1,4,1,1.818,0.933,2.270,-94.539
1,4,1,1.924,0.928,2.286,-87.371
1,4,1,2.018,0.926,2.297,-81.982
1,4,1,2.118,0.926,2.309,-78.079
1,4,1,2.225,0.923,2.319,-76.465
1,4,1,2.324,0.922,2.325,-73.322
1,4,1,2.418,0.924,2.334,-68.209
1,4,1,2.521,0.926,2.348,-64.234
1,4,1,2.618,0.925,2.354,-63.681
1,4,1,2.721,0.921,2.349,-66.524
1,4,1,2.819,0.914,2.336,-72.747
1,4,1,2.918,0.907,2.315,-80.301
1,4,1,3.020,0.904,2.290,-88.560
1,4,1,3.121,0.902,2.269,-94.146
1,4,1,3.222,0.900,2.253,-97.449
1,4,1,3.322,0.899,2.244,-99.168
1,4,1,3.423,0.899,2.235,-101.625
1,4,1,3.527,0.899,2.218,-105.529
1,4,1,3.628,0.901,2.201,-108.776
1,4,1,3.728,0.903,2.186,-110.940
1,4,1,3.829,0.904,2.171,-112.183
1,4,1,3.929,0.901,2.153,-113.494
1,4,1,4.024,0.894,2.132,-115.384
1,4,1,4.125,0.880,2.110,-117.552
1,4,1,4.225,0.861,2.090,-118.231
1,4,1,4.329,0.833,2.070,-118.819
1,4,1,4.430,0.800,2.049,-120.369
1,4,1,4.530,0.761,2.030,-121.336
1,4,1,4.630,0.722,2.012,-121.893
1,4,1,4.730,0.682,1.992,-121.919
1,4,1,4.831,0.640,1.967,-120.958
1,4,1,4.927,0.597,1.933,-120.016
1,4,1,5.027,0.555,1.885,-120.071
1,4,1,5.127,0.512,1.828,-120.196
1,4,1,5.226,0.467,1.763,-120.259
1,4,1,5.332,0.424,1.694,-121.071
1,4,1,5.433,0.376,1.630,-122.261
1,4,1,5.527,0.322,1.574,-122.101
1,4,1,5.628,0.260,1.522,-121.784
1,4,1,5.727,0.190,1.470,-122.118
1,4,1,5.829,0.113,1.418,-123.633
1,4,1,5.928,0.033,1.368,-125.170
